"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Cases","11/20/2021","All","272.4","114.4","25.3","2.4","10.8","310.1","94.4","25.9","3.3","12.0","893,891","1,383,374","221,328","2,435","1,582","56","999","999"
"Hospitalizations","05/14/2022","80+","74.7","84.5","42.6","0.9","1.8",,,,,,"26,763","13,025","44,628","20","11","19","80","200"
"Cases","11/06/2021","65-79","123.9","58.1","16.7","2.1","7.4",,,,,,"58,116","160,017","41,816","72","93","7","65","79"
"Cases","05/14/2022","65-79","229.8","157.7","227.6","1.5","1.0",,,,,,"47,442","48,816","163,445","109","77","372","65","79"
"Cases","12/18/2021","12-17","1,791.0","505.9","541.5","3.5","3.3",,,,,,"56,227","107,530","554","1,007","544","3","12","17"
"Hospitalizations","08/05/2023","0-4","2.5","0.0",,,,,,,,,"162,642",,,"4","0",,"0","4"
"Deaths","08/06/2022","All","0.7","0.2","0.2","3.5","3.5","0.8","0.4","0.1","2.0","6.3","614,334","850,591","1,014,163","4","2","2","999","999"
"Hospitalizations","11/04/2023","12-17","0.0","0.0","2.2",,"0.0",,,,,,"31,567","86,534","44,661","0","0","1","12","17"
"Deaths","08/27/2022","12-17","0.0","0.0","0.0",,,,,,,,"35,352","87,164","42,657","0","0","0","12","17"
"Hospitalizations","08/27/2022","12-17","2.8","1.1","0.0","2.5",,,,,,,"35,352","87,164","42,657","1","1","0","12","17"
"Hospitalizations","05/14/2022","30-49","10.8","4.9","3.9","2.2","2.8",,,,,,"130,179","285,512","332,845","14","14","13","30","49"
"Cases","11/20/2021","65-79","175.6","83.8","8.6","2.1","20.4",,,,,,"56,364","133,667","69,658","99","112","6","65","79"
"Hospitalizations","04/10/2021","12-17","2.3",,,,,,,,,,"177,522",,,"4",,,"12","17"
"Deaths","12/18/2021","5-11","0.0","0.0",,,,,,,,,"147,394","24,009",,"0","0",,"5","11"
"Hospitalizations","12/24/2022","12-17","0.0","0.0","0.0",,,,,,,,"33,751","86,182","44,535","0","0","0","12","17"
"Deaths","09/23/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,692","86,574","44,597","0","0","0","12","17"
