"Outcome","Week End","Age Group","Unvaccinated Rate","Vaccinated Rate","Boosted Rate","Crude Vaccinated Ratio","Crude Boosted Ratio","Age-Adjusted Unvaccinated Rate","Age-Adjusted Vaccinated Rate","Age-Adjusted Boosted Rate","Age-Adjusted Vaccinated Ratio","Age-Adjusted Boosted Ratio","Population Unvaccinated","Population Vaccinated","Population Boosted","Outcome Unvaccinated","Outcome Vaccinated","Outcome Boosted","Age Group Min","Age Group Max"
"Deaths","02/11/2023","30-49","0.0","0.0","0.0",,,,,,,,"111,258","277,686","347,246","0","0","0","30","49"
"Deaths","12/11/2021","30-49","6.6","0.4","0.0","16.5",,,,,,,"181,110","452,975","121,631","12","2","0","30","49"
"Hospitalizations","03/11/2023","30-49","10.0","2.5","2.9","4.0","3.4",,,,,,"110,407","277,955","347,264","11","7","10","30","49"
"Hospitalizations","02/05/2022","65-79","50.2","36.8","15.4","1.4","3.3",,,,,,"49,755","59,749","148,949","25","22","23","65","79"
"Cases","02/05/2022","30-49","226.4","110.2","163.1","2.1","1.4",,,,,,"142,252","308,500","286,318","322","340","467","30","49"
"Deaths","09/23/2023","50-64","0.0","0.0","0.0",,,,,,,,"32,105","125,718","246,945","0","0","0","50","64"
"Deaths","02/05/2022","All","7.2","4.4","1.7","1.6","4.2","10.1","6.5","0.9","1.6","10.8","695,615","928,537","818,642","50","41","14","999","999"
"Cases","06/03/2023","18-29","18.7","6.1","9.3","3.1","2.0",,,,,,"74,734","214,134","161,695","14","13","15","18","29"
"Cases","07/02/2022","80+","113.4","180.6","228.7","0.6","0.5",,,,,,"26,451","12,179","45,911","30","22","105","80","200"
"Deaths","02/26/2022","80+","18.4","27.0","7.1","0.7","2.6",,,,,,"27,200","14,818","42,125","5","4","3","80","200"
"Cases","06/18/2022","5-11","65.1","112.1","120.3","0.6","0.5",,,,,,"99,854","91,897","4,155","65","103","5","5","11"
"Hospitalizations","11/06/2021","50-64","40.9","4.7","8.0","8.7","5.1",,,,,,"70,859","318,525","25,135","29","15","2","50","64"
"Cases","09/24/2022","12-17","168.7","65.3","76.6","2.6","2.2",,,,,,"34,979","85,783","44,379","59","56","34","12","17"
"Deaths","06/03/2023","65-79","0.0","0.0","0.0",,,,,,,,"39,483","43,434","171,732","0","0","0","65","79"
"Cases","04/23/2022","80+","48.3","111.4","123.0","0.4","0.4",,,,,,"26,906","13,471","43,906","13","15","54","80","200"
"Deaths","04/03/2021","65-79","5.7","1.1",,"5.2",,,,,,,"105,935","91,962",,"6","1",,"65","79"
"Cases","10/01/2022","All","103.2","56.9","92.1","1.8","1.1","127.4","57.9","87.4","2.2","1.5","591,822","842,535","1,037,067","611","479","955","999","999"
"Deaths","06/24/2023","65-79","0.0","0.0","0.0",,,,,,,,"39,394","43,428","171,739","0","0","0","65","79"
"Hospitalizations","03/04/2023","All","8.1","4.9","7.1","1.7","1.1","9.7","7.2","5.0","1.3","1.9","544,398","857,702","1,040,439","44","42","74","999","999"
"Hospitalizations","05/27/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,492","86,582","44,579","0","0","0","12","17"
"Deaths","09/04/2021","18-29","0.0","0.0",,,,,,,,,"188,921","294,893",,"0","0",,"18","29"
"Deaths","05/06/2023","All","0.0","0.1","0.0","0.0",,"0.0","0.3","0.0","0.0",,"537,432","860,338","1,040,639","0","1","0","999","999"
"Hospitalizations","07/10/2021","65-79","4.2","1.6",,"2.6",,,,,,,"71,806","189,097",,"3","3",,"65","79"
"Deaths","01/01/2022","18-29","0.7","0.0","0.0",,,,,,,,"135,521","266,118","72,360","1","0","0","18","29"
"Deaths","10/22/2022","5-11","0.0","0.0","0.0",,,,,,,,"94,103","80,652","20,656","0","0","0","5","11"
"Deaths","03/19/2022","12-17","0.0","0.0","0.0",,,,,,,,"38,626","96,018","29,614","0","0","0","12","17"
"Hospitalizations","09/30/2023","30-49","1.9","1.8","0.9","1.1","2.1",,,,,,"105,830","278,394","347,333","2","5","3","30","49"
"Hospitalizations","04/29/2023","65-79","12.6","9.2","4.7","1.4","2.7",,,,,,"39,684","43,437","171,725","5","4","8","65","79"
"Hospitalizations","11/04/2023","50-64","22.9","1.6","2.0","14.3","11.5",,,,,,"30,620","125,775","247,617","7","2","5","50","64"
"Deaths","06/05/2021","50-64","10.7","0.0",,,,,,,,,"121,592","270,415",,"13","0",,"50","64"
"Cases","05/07/2022","30-49","304.8","170.8","457.4","1.8","0.7",,,,,,"130,589","286,382","331,646","398","489","1,517","30","49"
"Deaths","08/06/2022","65-79","2.2","0.0","0.0",,,,,,,,"45,860","44,684","169,587","1","0","0","65","79"
"Cases","11/19/2022","18-29","156.0","50.4","81.1","3.1","1.9",,,,,,"82,036","212,422","161,555","128","107","131","18","29"
"Cases","04/22/2023","All","48.8","24.3","39.6","2.0","1.2","55.5","26.6","39.6","2.1","1.4","538,932","859,890","1,040,601","263","209","412","999","999"
"Cases","10/29/2022","5-11","108.6","88.1","124.3","1.2","0.9",,,,,,"93,885","80,560","20,921","102","71","26","5","11"
"Hospitalizations","04/03/2021","80+","38.0","3.8",,"10.0",,,,,,,"42,122","26,360",,"16","1",,"80","200"
"Deaths","10/21/2023","All","0.2","0.0","0.2",,"1.0","0.1","0.0","0.1",,"1.1","517,086","861,860","1,042,471","1","0","2","999","999"
"Cases","02/05/2022","50-64","295.2","99.5","106.2","3.0","2.8",,,,,,"48,776","157,818","201,587","144","157","214","50","64"
"Cases","07/17/2021","30-49","69.7","22.0",,"3.2",,,,,,,"277,043","487,172",,"193","107",,"30","49"
"Hospitalizations","11/19/2022","65-79","31.2","32.3","21.0","1.0","1.5",,,,,,"41,725","43,336","171,598","13","14","36","65","79"
"Deaths","08/19/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,883","86,575","44,594","0","0","0","12","17"
"Cases","04/01/2023","All","78.4","43.2","59.7","1.8","1.3","88.5","45.0","56.0","2.0","1.6","541,142","859,045","1,040,539","424","371","621","999","999"
"Hospitalizations","09/10/2022","18-29","13.3","3.3","1.2","4.0","11.1",,,,,,"90,487","211,509","161,187","12","7","2","18","29"
"Cases","10/14/2023","5-11","9.0","6.1","14.1","1.5","0.6",,,,,,"89,235","82,644","21,300","8","5","3","5","11"
"Hospitalizations","04/03/2021","All","14.0","2.7",,"5.2",,"16.7","1.6",,"10.7",,"1,827,674","338,699",,"255","9",,"999","999"
"Deaths","11/12/2022","65-79","0.0","0.0","0.6",,"0.0",,,,,,"42,041","43,328","171,584","0","0","1","65","79"
"Cases","11/19/2022","0-4","87.9","8.6",,"10.2",,,,,,,"162,642",,,"143","14",,"0","4"
"Cases","12/10/2022","65-79","262.5","191.5","189.9","1.4","1.4",,,,,,"41,147","43,350","171,635","108","83","326","65","79"
"Cases","04/17/2021","30-49","311.5","30.3",,"10.3",,,,,,,"419,282","148,748",,"1,306","45",,"30","49"
"Hospitalizations","06/18/2022","80+","30.2","121.3","52.6","0.2","0.6",,,,,,"26,513","12,369","45,641","8","15","24","80","200"
"Cases","08/21/2021","50-64","239.8","72.8",,"3.3",,,,,,,"91,732","320,054",,"220","233",,"50","64"
"Deaths","07/31/2021","80+","3.1","1.9",,"1.6",,,,,,,"32,548","52,348",,"1","1",,"80","200"
"Hospitalizations","07/16/2022","30-49","11.0","3.6","5.3","3.1","2.1",,,,,,"127,190","279,873","341,011","14","10","18","30","49"
"Deaths","04/23/2022","5-11","0.0","0.0",,,,,,,,,"102,360","92,950",,"0","0",,"5","11"
"Cases","01/29/2022","80+","247.7","269.8","137.7","0.9","1.8",,,,,,"27,458","16,677","39,936","68","45","55","80","200"
"Hospitalizations","06/18/2022","All","12.2","7.0","8.3","1.7","1.5","17.3","9.9","5.7","1.7","3.0","638,877","871,208","984,294","78","61","82","999","999"
"Hospitalizations","01/07/2023","65-79","51.8","30.0","28.0","1.7","1.9",,,,,,"40,561","43,362","171,679","21","13","48","65","79"
"Deaths","01/01/2022","5-11","0.0","0.0",,,,,,,,,"138,684","43,394",,"0","0",,"5","11"
"Cases","10/16/2021","50-64","178.4","46.1",,"3.9",,,,,,,"75,689","329,389",,"135","152",,"50","64"
"Deaths","02/18/2023","50-64","0.0","0.0","0.0",,,,,,,,"33,956","125,555","246,862","0","0","0","50","64"
"Hospitalizations","08/26/2023","18-29","0.0","0.9","0.6","0.0","0.0",,,,,,"73,401","214,130","161,720","0","2","1","18","29"
"Cases","11/12/2022","80+","155.0","202.3","155.0","0.8","1.0",,,,,,"25,162","11,369","47,090","39","23","73","80","200"
"Cases","10/28/2023","All","49.2","21.1","35.6","2.3","1.4","56.4","23.2","28.6","2.4","2.0","514,722","862,266","1,043,533","253","182","371","999","999"
"Hospitalizations","05/08/2021","30-49","19.7","0.7",,"28.1",,,,,,,"350,842","287,155",,"69","2",,"30","49"
"Cases","08/19/2023","50-64","120.4","30.2","49.4","4.0","2.4",,,,,,"32,398","125,726","246,936","39","38","122","50","64"
"Cases","10/30/2021","50-64","198.7","57.2","21.7","3.5","9.2",,,,,,"72,470","323,521","18,445","144","185","4","50","64"
"Deaths","03/18/2023","5-11","0.0","0.0","0.0",,,,,,,,"91,300","82,368","21,212","0","0","0","5","11"
"Cases","04/10/2021","65-79","128.8","9.3",,"13.8",,,,,,,"99,368","107,437",,"128","10",,"65","79"
"Hospitalizations","02/25/2023","65-79","34.9","18.4","15.7","1.9","2.2",,,,,,"40,075","43,402","171,700","14","8","27","65","79"
"Deaths","09/18/2021","50-64","7.3","0.6",,"12.2",,,,,,,"82,757","327,000",,"6","2",,"50","64"
"Cases","04/22/2023","50-64","105.2","21.5","38.1","4.9","2.8",,,,,,"33,280","125,718","246,902","35","27","94","50","64"
"Deaths","03/19/2022","18-29","0.0","0.0","0.0",,,,,,,,"99,842","220,707","143,769","0","0","0","18","29"
"Hospitalizations","09/16/2023","65-79","17.9","23.0","16.3","0.8","1.1",,,,,,"39,123","43,414","171,757","7","10","28","65","79"
"Cases","02/26/2022","12-17","88.3","37.6","57.5","2.3","1.5",,,,,,"39,635","95,673","26,095","35","36","15","12","17"
"Deaths","08/28/2021","12-17","0.0","0.0",,,,,,,,,"77,824","75,875",,"0","0",,"12","17"
"Hospitalizations","03/25/2023","5-11","0.0","0.0","0.0",,,,,,,,"91,234","82,443","21,217","0","0","0","5","11"
"Deaths","09/30/2023","12-17","0.0","0.0","0.0",,,,,,,,"31,687","86,573","44,598","0","0","0","12","17"
"Deaths","07/15/2023","50-64","0.0","0.0","0.0",,,,,,,,"32,602","125,728","246,933","0","0","0","50","64"
"Deaths","03/11/2023","12-17","0.0","0.0","0.0",,,,,,,,"33,097","86,429","44,562","0","0","0","12","17"
"Cases","12/17/2022","5-11","246.1","231.2","302.8","1.1","0.8",,,,,,"92,628","81,328","21,134","228","188","64","5","11"
"Deaths","07/01/2023","18-29","0.0","0.0","0.0",,,,,,,,"74,266","214,137","161,703","0","0","0","18","29"
"Hospitalizations","09/30/2023","65-79","12.9","6.9","7.6","1.9","1.7",,,,,,"38,891","43,410","171,762","5","3","13","65","79"
"Deaths","02/05/2022","30-49","4.9","0.3","0.3","16.3","16.3",,,,,,"142,252","308,500","286,318","7","1","1","30","49"
"Hospitalizations","09/10/2022","All","13.9","5.1","7.5","2.7","1.9","18.0","7.4","6.1","2.4","2.9","602,393","841,160","1,033,881","84","43","78","999","999"
"Hospitalizations","01/21/2023","All","10.9","4.4","7.9","2.5","1.4","15.1","6.4","5.3","2.4","2.9","550,760","855,236","1,040,253","60","38","82","999","999"
"Hospitalizations","11/13/2021","All","13.1","4.3","1.8","3.0","7.3","19.3","4.0","0.6","4.8","30.8","918,456","1,426,503","169,151","120","62","3","999","999"
"Deaths","04/23/2022","18-29","0.0","0.0","0.0",,,,,,,,"97,360","218,531","149,251","0","0","0","18","29"
"Hospitalizations","07/03/2021","12-17","0.9","0.0",,,,,,,,,"107,885","48,259",,"1","0",,"12","17"
"Deaths","05/28/2022","30-49","0.0","0.0","0.0",,,,,,,,"129,368","283,855","335,115","0","0","0","30","49"
"Hospitalizations","01/14/2023","80+","48.4","70.3","61.5","0.7","0.8",,,,,,"24,777","11,372","47,117","12","8","29","80","200"
"Hospitalizations","04/29/2023","80+","12.2","26.4","29.7","0.5","0.4",,,,,,"24,593","11,384","47,127","3","3","14","80","200"
"Deaths","04/29/2023","18-29","0.0","0.0","0.0",,,,,,,,"75,493","214,091","161,686","0","0","0","18","29"
"Cases","12/11/2021","18-29","622.9","219.4","113.8","2.8","5.5",,,,,,"147,702","295,416","37,772","920","648","43","18","29"
"Hospitalizations","11/19/2022","50-64","35.8","5.6","7.7","6.4","4.6",,,,,,"36,276","125,309","246,713","13","7","19","50","64"
"Deaths","01/14/2023","All","1.3","0.5","0.7","2.6","1.9","1.2","1.0","0.5","1.2","2.7","552,001","854,759","1,040,217","7","4","7","999","999"
"Deaths","10/30/2021","12-17","0.0","0.0",,,,,,,,,"64,181","100,542",,"0","0",,"12","17"
"Deaths","07/24/2021","50-64","3.9","0.0",,,,,,,,,"102,426","311,064",,"4","0",,"50","64"
"Deaths","07/17/2021","80+","3.0","0.0",,,,,,,,,"33,027","51,912",,"1","0",,"80","200"
"Hospitalizations","11/05/2022","18-29","12.0","1.4","1.9","8.6","6.3",,,,,,"83,590","212,234","161,534","10","3","3","18","29"
"Cases","10/28/2023","65-79","47.4","57.0","47.6","0.8","1.0",,,,,,"37,995","43,884","172,161","18","25","82","65","79"
"Hospitalizations","08/12/2023","30-49","3.7","1.8","0.6","2.1","6.2",,,,,,"107,297","278,401","347,314","4","5","2","30","49"
"Hospitalizations","01/15/2022","All","86.8","37.9","24.5","2.3","3.5","120.0","45.6","15.3","2.6","7.8","745,375","1,023,963","685,691","647","388","168","999","999"
"Hospitalizations","06/18/2022","5-11","0.0","2.2","0.0","0.0",,,,,,,"99,854","91,897","4,155","0","2","0","5","11"
"Hospitalizations","08/20/2022","80+","87.7","95.0","66.3","0.9","1.3",,,,,,"26,236","11,583","46,759","23","11","31","80","200"
"Deaths","09/09/2023","30-49","0.0","0.0","0.0",,,,,,,,"106,855","278,397","347,322","0","0","0","30","49"
"Hospitalizations","08/13/2022","All","13.9","8.6","11.7","1.6","1.2","17.6","11.3","7.8","1.6","2.3","611,563","848,751","1,018,396","85","73","119","999","999"
"Deaths","04/10/2021","12-17","0.0",,,,,,,,,,"177,522",,,"0",,,"12","17"
"Deaths","06/11/2022","65-79","2.1","4.3","1.2","0.5","1.8",,,,,,"46,831","47,037","166,138","1","2","2","65","79"
"Cases","11/18/2023","5-11","19.2","12.2","9.0","1.6","2.1",,,,,,"88,375","81,993","22,205","17","10","2","5","11"
"Hospitalizations","12/18/2021","5-11","3.4","0.0",,,,,,,,,"147,394","24,009",,"5","0",,"5","11"
"Cases","08/20/2022","65-79","203.5","158.6","189.6","1.3","1.1",,,,,,"45,707","44,146","170,344","93","70","323","65","79"
"Cases","05/01/2021","12-17","178.9",,,,,,,,,,"167,682",,,"300",,,"12","17"
"Deaths","03/18/2023","18-29","0.0","0.0","0.0",,,,,,,,"76,420","213,693","161,668","0","0","0","18","29"
"Hospitalizations","10/01/2022","12-17","2.9","0.0","2.3",,"1.3",,,,,,"34,876","85,807","44,418","1","0","1","12","17"
"Cases","07/09/2022","12-17","145.7","65.8","124.0","2.2","1.2",,,,,,"36,376","91,174","37,907","53","60","47","12","17"
"Cases","05/01/2021","30-49","274.7","25.1",,"10.9",,,,,,,"365,119","238,588",,"1,003","60",,"30","49"
"Hospitalizations","03/25/2023","All","7.6","4.1","7.0","1.9","1.1","9.5","6.0","5.0","1.6","1.9","541,869","858,761","1,040,518","41","35","73","999","999"
"Deaths","06/18/2022","50-64","0.0","0.8","0.0","0.0",,,,,,,"42,287","130,631","238,855","0","1","0","50","64"
"Hospitalizations","01/14/2023","18-29","8.9","2.3","1.2","3.9","7.4",,,,,,"78,419","213,045","161,631","7","5","2","18","29"
"Deaths","05/15/2021","18-29","0.4","0.0",,,,,,,,,"265,014","159,262",,"1","0",,"18","29"
"Cases","09/03/2022","5-11","205.2","201.0","200.9","1.0","1.0",,,,,,"95,528","82,574","16,920","196","166","34","5","11"
"Cases","11/25/2023","80+","75.4","77.3","168.9","1.0","0.4",,,,,,"23,887","11,638","47,353","18","9","80","80","200"
"Deaths","10/30/2021","30-49","0.5","0.0","0.0",,,,,,,,"203,492","531,626","24,199","1","0","0","30","49"
"Cases","04/01/2023","18-29","85.4","23.8","38.3","3.6","2.2",,,,,,"76,086","213,847","161,677","65","51","62","18","29"
"Hospitalizations","04/10/2021","65-79","52.3","3.7",,"14.1",,,,,,,"99,368","107,437",,"52","4",,"65","79"
"Hospitalizations","01/22/2022","50-64","164.5","32.7","15.3","5.0","10.8",,,,,,"51,071","174,412","182,773","84","57","28","50","64"
"Cases","12/04/2021","30-49","590.8","229.0","59.2","2.6","10.0",,,,,,"185,523","469,462","103,054","1,096","1,075","61","30","49"
"Deaths","11/06/2021","65-79","6.9","1.2","0.0","5.8",,,,,,,"58,116","160,017","41,816","4","2","0","65","79"
"Deaths","08/26/2023","80+","4.1","0.0","2.1",,"2.0",,,,,,"24,464","11,380","47,133","1","0","1","80","200"
"Hospitalizations","09/23/2023","80+","16.4","52.7","65.8","0.3","0.2",,,,,,"24,430","11,380","47,134","4","6","31","80","200"
"Cases","07/01/2023","80+","4.1","26.4","23.3","0.2","0.2",,,,,,"24,502","11,383","47,130","1","3","11","80","200"
"Cases","06/10/2023","All","15.7","6.4","11.8","2.5","1.3","18.7","6.8","9.3","2.8","2.0","534,086","860,351","1,040,691","84","55","123","999","999"
"Hospitalizations","03/25/2023","65-79","22.5","16.1","12.8","1.4","1.8",,,,,,"39,930","43,424","171,711","9","7","22","65","79"
"Deaths","10/15/2022","65-79","0.0","0.0","0.0",,,,,,,,"43,523","43,397","171,429","0","0","0","65","79"
"Hospitalizations","09/25/2021","All","14.1","3.1",,"4.5",,"19.7","2.4",,"8.1",,"1,021,435","1,498,444",,"144","46",,"999","999"
"Cases","10/29/2022","30-49","165.8","74.2","109.8","2.2","1.5",,,,,,"118,225","276,436","347,042","196","205","381","30","49"
"Hospitalizations","05/06/2023","30-49","2.8","0.7","0.6","4.0","4.7",,,,,,"109,056","278,396","347,295","3","2","2","30","49"
"Deaths","04/22/2023","All","0.2","0.0","0.1",,"2.0","0.1","0.0","0.1",,"2.0","538,932","859,890","1,040,601","1","0","1","999","999"
"Cases","07/16/2022","80+","151.6","274.9","268.6","0.6","0.6",,,,,,"26,383","12,003","46,163","40","33","124","80","200"
"Cases","09/17/2022","80+","76.6","193.3","170.1","0.4","0.5",,,,,,"26,096","11,381","47,028","20","22","80","80","200"
"Deaths","07/01/2023","30-49","0.0","0.0","0.0",,,,,,,,"107,930","278,403","347,308","0","0","0","30","49"
"Deaths","12/03/2022","30-49","0.0","0.0","0.0",,,,,,,,"114,875","276,921","347,113","0","0","0","30","49"
"Deaths","12/24/2022","18-29","0.0","0.0","0.0",,,,,,,,"79,625","212,863","161,605","0","0","0","18","29"
"Cases","08/19/2023","12-17","12.5","9.2","13.5","1.4","0.9",,,,,,"31,883","86,575","44,594","4","8","6","12","17"
"Hospitalizations","05/14/2022","18-29","4.2","1.4","4.6","3.0","0.9",,,,,,"96,186","217,174","151,504","4","3","7","18","29"
"Deaths","07/10/2021","30-49","0.4","0.0",,,,,,,,,"280,996","481,217",,"1","0",,"30","49"
"Hospitalizations","04/16/2022","80+","11.1","14.7","18.3","0.8","0.6",,,,,,"26,947","13,608","43,669","3","2","8","80","200"
"Deaths","02/12/2022","18-29","0.9","0.0","0.0",,,,,,,,"105,504","222,132","129,112","1","0","0","18","29"
"Hospitalizations","02/12/2022","All","11.8","6.5","5.8","1.8","2.0","16.1","8.4","4.3","1.9","3.8","684,647","914,673","848,563","81","59","49","999","999"
"Deaths","11/13/2021","18-29","0.0","0.0","0.0",,,,,,,,"160,183","311,808","14,313","0","0","0","18","29"
"Deaths","11/18/2023","50-64","0.0","0.0","0.4",,"0.0",,,,,,"29,998","125,698","247,977","0","0","1","50","64"
"Cases","08/28/2021","65-79","167.0","62.6",,"2.7",,,,,,,"65,885","194,871",,"110","122",,"65","79"
"Cases","06/18/2022","All","209.4","127.2","226.9","1.6","0.9","252.8","124.4","199.7","2.0","1.3","638,877","871,208","984,294","1,338","1,108","2,233","999","999"
"Deaths","04/15/2023","80+","0.0","0.0","0.0",,,,,,,,"24,612","11,385","47,126","0","0","0","80","200"
"Cases","08/12/2023","80+","20.4","61.5","63.7","0.3","0.3",,,,,,"24,472","11,382","47,131","5","7","30","80","200"
"Hospitalizations","04/01/2023","All","7.6","2.4","5.9","3.2","1.3","10.2","2.9","4.2","3.5","2.4","541,142","859,045","1,040,539","41","21","61","999","999"
"Deaths","05/28/2022","18-29","0.0","0.0","0.0",,,,,,,,"95,327","216,374","152,861","0","0","0","18","29"
"Hospitalizations","07/02/2022","12-17","2.7","0.0","0.0",,,,,,,,"36,490","91,639","37,326","1","0","0","12","17"
"Deaths","09/23/2023","30-49","0.0","0.0","0.0",,,,,,,,"106,401","278,395","347,328","0","0","0","30","49"
"Hospitalizations","12/10/2022","50-64","36.6","14.4","10.1","2.5","3.6",,,,,,"35,521","125,371","246,748","13","18","25","50","64"
"Cases","02/05/2022","65-79","150.7","117.2","100.7","1.3","1.5",,,,,,"49,755","59,749","148,949","75","70","150","65","79"
"Deaths","02/18/2023","30-49","0.0","0.0","0.0",,,,,,,,"110,993","277,757","347,252","0","0","0","30","49"
"Cases","10/02/2021","50-64","220.0","50.6",,"4.3",,,,,,,"79,080","330,032",,"174","167",,"50","64"
"Cases","08/12/2023","5-11","2.2","12.1","28.2","0.2","0.1",,,,,,"89,770","82,673","21,260","2","10","6","5","11"
"Deaths","12/31/2022","80+","8.1","17.6","4.2","0.5","1.9",,,,,,"24,824","11,367","47,117","2","2","2","80","200"
"Hospitalizations","07/08/2023","5-11","0.0","0.0","0.0",,,,,,,,"90,204","82,670","21,257","0","0","0","5","11"
"Deaths","06/25/2022","65-79","0.0","2.2","0.0","0.0",,,,,,,"46,578","46,462","167,052","0","1","0","65","79"
"Hospitalizations","03/11/2023","50-64","29.7","6.4","6.5","4.6","4.6",,,,,,"33,710","125,621","246,881","10","8","16","50","64"
"Cases","07/01/2023","50-64","18.4","6.4","10.5","2.9","1.8",,,,,,"32,676","125,733","246,928","6","8","26","50","64"
"Hospitalizations","07/01/2023","12-17","0.0","0.0","0.0",,,,,,,,"32,274","86,578","44,588","0","0","0","12","17"
"Hospitalizations","10/22/2022","18-29","5.9","0.5","3.1","11.8","1.9",,,,,,"85,278","212,032","161,513","5","1","5","18","29"
"Deaths","07/16/2022","65-79","4.3","0.0","0.0",,,,,,,,"46,231","45,565","168,311","2","0","0","65","79"
"Deaths","06/10/2023","5-11","0.0","0.0","0.0",,,,,,,,"90,486","82,681","21,245","0","0","0","5","11"
"Cases","03/18/2023","18-29","109.9","34.6","45.2","3.2","2.4",,,,,,"76,420","213,693","161,668","84","74","73","18","29"
"Cases","01/14/2023","50-64","246.3","84.5","112.6","2.9","2.2",,,,,,"34,510","125,451","246,827","85","106","278","50","64"
"Deaths","05/07/2022","18-29","0.0","0.0","0.0",,,,,,,,"96,593","217,622","150,759","0","0","0","18","29"
"Cases","10/16/2021","12-17","200.2","30.8",,"6.5",,,,,,,"65,944","97,454",,"132","30",,"12","17"
"Hospitalizations","07/30/2022","5-11","1.0","2.3","0.0","0.4",,,,,,,"97,719","86,946","10,832","1","2","0","5","11"
"Cases","06/03/2023","5-11","16.6","20.6","18.8","0.8","0.9",,,,,,"90,556","82,682","21,243","15","17","4","5","11"
"Cases","05/06/2023","80+","32.5","52.7","70.0","0.6","0.5",,,,,,"24,581","11,385","47,127","8","6","33","80","200"
"Hospitalizations","04/15/2023","65-79","20.1","9.2","16.9","2.2","1.2",,,,,,"39,800","43,431","171,719","8","4","29","65","79"
"Deaths","05/06/2023","80+","0.0","8.8","0.0","0.0",,,,,,,"24,581","11,385","47,127","0","1","0","80","200"
"Deaths","04/16/2022","5-11","0.0","0.0",,,,,,,,,"102,695","92,456",,"0","0",,"5","11"
"Cases","04/24/2021","30-49","287.3","31.1",,"9.2",,,,,,,"386,715","193,096",,"1,111","60",,"30","49"
"Cases","04/16/2022","18-29","241.4","95.5","264.1","2.5","0.9",,,,,,"97,780","218,922","148,408","236","209","392","18","29"
"Hospitalizations","05/07/2022","50-64","20.5","5.2","3.4","3.9","6.0",,,,,,"43,830","134,524","233,206","9","7","8","50","64"
"Hospitalizations","08/20/2022","65-79","39.4","34.0","14.7","1.2","2.7",,,,,,"45,707","44,146","170,344","18","15","25","65","79"
"Cases","10/22/2022","65-79","148.7","122.2","135.3","1.2","1.1",,,,,,"43,032","43,378","171,472","64","53","232","65","79"
"Cases","08/14/2021","30-49","280.1","120.1",,"2.3",,,,,,,"254,572","504,735",,"713","606",,"30","49"
"Hospitalizations","11/26/2022","30-49","13.9","2.9","4.9","4.8","2.8",,,,,,"115,507","276,843","347,102","16","8","17","30","49"
"Deaths","05/21/2022","80+","0.0","0.0","4.5",,"0.0",,,,,,"26,685","12,893","44,830","0","0","2","80","200"
"Cases","04/03/2021","18-29","315.2","43.9",,"7.2",,,,,,,"385,176","47,882",,"1,214","21",,"18","29"
"Cases","02/25/2023","80+","113.4","193.4","182.5","0.6","0.6",,,,,,"24,695","11,378","47,124","28","22","86","80","200"
"Cases","02/05/2022","All","208.0","124.9","131.6","1.7","1.6","223.4","128.3","110.7","1.7","2.0","695,615","928,537","818,642","1,447","1,160","1,077","999","999"
"Hospitalizations","08/27/2022","80+","61.0","156.1","79.0","0.4","0.8",,,,,,"26,217","11,529","46,830","16","18","37","80","200"
"Hospitalizations","05/07/2022","All","6.9","4.2","5.5","1.6","1.3","9.2","5.6","3.8","1.6","2.4","648,754","888,946","956,808","45","37","53","999","999"
"Deaths","10/07/2023","All","0.8","0.1","0.5","8.0","1.6","0.5","0.3","0.3","1.9","1.8","522,040","860,669","1,041,205","4","1","5","999","999"
"Hospitalizations","11/11/2023","All","8.2","2.7","6.9","3.0","1.2","10.2","3.9","4.6","2.6","2.2","509,670","862,682","1,045,972","42","23","72","999","999"
"Cases","07/08/2023","65-79","22.9","11.5","15.7","2.0","1.5",,,,,,"39,363","43,427","171,742","9","5","27","65","79"
"Deaths","12/11/2021","65-79","25.8","3.8","3.0","6.8","8.6",,,,,,"54,236","104,235","100,914","14","4","3","65","79"
"Cases","02/11/2023","80+","93.1","202.2","180.4","0.5","0.5",,,,,,"24,710","11,376","47,122","23","23","85","80","200"
"Cases","10/02/2021","30-49","200.7","68.3",,"2.9",,,,,,,"218,778","533,019",,"439","364",,"30","49"
"Deaths","07/02/2022","5-11","0.0","0.0","0.0",,,,,,,,"99,299","90,057","6,610","0","0","0","5","11"
"Hospitalizations","10/29/2022","30-49","7.6","3.3","3.7","2.3","2.1",,,,,,"118,225","276,436","347,042","9","9","13","30","49"
"Deaths","02/12/2022","12-17","0.0","0.0","0.0",,,,,,,,"41,212","95,886","21,795","0","0","0","12","17"
"Hospitalizations","06/04/2022","All","14.3","4.1","9.2","3.5","1.6","18.0","5.2","6.5","3.4","2.8","641,809","878,533","974,045","92","36","90","999","999"
"Hospitalizations","08/06/2022","80+","64.7","51.1","66.6","1.3","1.0",,,,,,"26,292","11,735","46,545","17","6","31","80","200"
"Hospitalizations","01/29/2022","12-17","6.8","1.0","0.0","6.8",,,,,,,"44,003","100,652","13,613","3","1","0","12","17"
"Deaths","06/17/2023","30-49","0.0","0.0","0.0",,,,,,,,"108,176","278,399","347,307","0","0","0","30","49"
"Cases","12/25/2021","65-79","892.8","705.2","339.1","1.3","2.6",,,,,,"52,868","86,648","119,716","472","611","406","65","79"
